,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-4.325949167046448e-06,-4.882504232889248e-06,-5.423564585150421e-06,-5.947413159227711e-06,-6.4523875124015045e-06,-6.9368850996261995e-06,-7.399368359235302e-06,-7.83836959242055e-06,-8.252495621000056e-06,-8.64043220869396e-06,-9.000948231876442e-06,-9.33289958656842e-06,-9.635232819271727e-06,-9.906988470122418e-06,-1.014730411775365e-05,-1.0355417116205167e-05,-1.0530667015193698e-05,-1.0672497656063672e-05,-1.0780458936766504e-05,-1.0854208240267449e-05,-1.0893511521846838e-05,-1.0898244051845061e-05,-1.0868390811494435e-05,-1.0804046540581488e-05,-1.0705415436788547e-05,-1.057281050766886e-05,-1.0406652577311475e-05,-1.0207468950848649e-05,-9.975891741043626e-06,-9.712655862269599e-06,-9.418596698245956e-06,-9.094647450933285e-06,-8.741836179000359e-06,-8.36128253526187e-06,-7.954194213440301e-06,-7.521863115528625e-06,-7.065661251916373e-06,-6.587036387290472e-06,-6.087507446128331e-06,-5.568659692364166e-06,-5.032139698525848e-06,-4.47965012030782e-06,-3.912944293163168e-06,-3.3338206680624883e-06,-2.7441171040779583e-06,-2.1457050359050075e-06,-1.5404835348311906e-06,-9.303732819999008e-07,-3.1731047309472845e-07,2.9675932621179075e-07,9.098873545452631e-07,1.520127839258132e-06,2.125544171373633e-06,2.724215051448626e-06,3.31424058685139e-06,3.893748321104506e-06,4.46089917615861e-06,5.013893288739153e-06,5.550975722244326e-06,6.0704420360674416e-06,6.570643694669347e-06,7.049993299235123e-06,7.5069696253123355e-06,7.94012245044373e-06,8.348077156473888e-06,8.729539091924234e-06,9.083297680592437e-06,9.408230263337422e-06,9.703305660857981e-06,9.96758744615858e-06,1.0200236916316935e-05,1.0400515754122646e-05,1.0567788371139911e-05,1.0701523924758634e-05,1.080129800283288e-05,1.0866793970560326e-05,1.08978039753284e-05,1.089422960633824e-05,1.0856082206913083e-05,1.0783482838500046e-05,1.0676661896479467e-05,1.0535958379001101e-05,1.0361818811167511e-05,1.0154795827978676e-05,9.915546420535158e-06,9.644829851065104e-06,9.343505243392237e-06,9.012528856491072e-06,8.652951049782263e-06,8.265912949798326e-06,7.852642828798403e-06,7.414452206824541e-06,6.9527316895695666e-06,6.468946555265402e-06,5.964632104596593e-06,5.4413887883964534e-06,4.900877128588024e-06,4.344812448488356e-06,3.7749594291995986e-06,3.193126509362329e-06,2.6011601460434916e-06,2.000938954972257e-06,1.394367748719723e-06,7.833714917425303e-07,1.6988919147411158e-07,-4.441322551497244e-07,-1.0567442402026932e-06,-1.666002628709703e-06,-2.2699739283936973e-06
2,-8.76125825578485e-06,-9.882352561422178e-06,-1.097208504633226e-05,-1.2026997425190831e-05,-1.3043741914896337e-05,-1.4019091858818853e-05,-1.4949951966651997e-05,-1.5833368137371497e-05,-1.6666536834127024e-05,-1.744681398131608e-05,-1.8171723355604608e-05,-1.8838964444265672e-05,-1.9446419745897196e-05,-1.9992161490350207e-05,-2.0474457756541447e-05,-2.0891777968735738e-05,-2.1242797753854943e-05,-2.1526403144399472e-05,-2.1741694113643957e-05,-2.1887987431887716e-05,-2.196481883469661e-05,-2.197194449625427e-05,-2.190934180314759e-05,-2.1777209426131024e-05,-2.1575966689641078e-05,-2.1306252241063217e-05,-2.096892202397266e-05,-2.056504656178263e-05,-2.009590756041914e-05,-1.956299384080471e-05,-1.8967996614058752e-05,-1.8312804114409116e-05,-1.759949560684743e-05,-1.6830334788544814e-05,-1.6007762604968904e-05,-1.5134389503500106e-05,-1.4212987149130734e-05,-1.324647962853711e-05,-1.2237934170438689e-05,-1.119055141169354e-05,-1.0107655240020516e-05,-8.992682245582848e-06,-7.849170814908475e-06,-6.680749901757631e-06,-5.4911275105741095e-06,-4.284078929067311e-06,-3.0634347472700114e-06,-1.8330687010931145e-06,-5.968853789561573e-07,6.41192169493122e-07,1.8772348832462731e-06,3.107320158878747e-06,4.327544299001322e-06,5.534034900712773e-06,6.722963144739075e-06,7.89055594625909e-06,9.033107928855983e-06,1.0146993183594929e-05,1.12286767759092e-05,1.2274725963777621e-05,1.3281821091592088e-05,1.4246766125143373e-05,1.5166498794292284e-05,1.6038100311138117e-05,1.685880463284369e-05,1.7626007239721284e-05,1.8337273400721893e-05,1.8990345900097335e-05,1.9583152200714365e-05,2.0113811021288e-05,2.0580638306660792e-05,2.0982152572181868e-05,2.1317079605224606e-05,2.158435650892291e-05,2.1783135075293295e-05,2.191278447703787e-05,2.1972893269485994e-05,2.1963270696321193e-05,2.1883947294949657e-05,2.1735174799589328e-05,2.1517425342386818e-05,2.1231389955097775e-05,2.0877976376085305e-05,2.045830616959624e-05,1.9973711166457205e-05,1.942572923748577e-05,1.8816099413030397e-05,1.814675636412671e-05,1.7419824262784807e-05,1.663761004089176e-05,1.5802596069122428e-05,1.4917432279092275e-05,1.3984927753752363e-05,1.3008041812715076e-05,1.1989874620800815e-05,1.0933657349610114e-05,9.842741923343445e-06,8.72059038141041e-06,7.5707638915864034e-06,6.396911448583678e-06,5.202758293902085e-06,3.992094093709158e-06,2.7687609122675796e-06,1.5366410190762123e-06,2.996445684190945e-07,-9.383028095782494e-07,-2.173272467005649e-06,-3.4013452058017374e-06,-4.618623715398601e-06
3,-1.3255654879172501e-05,-1.4936324470857169e-05,-1.6569593372527227e-05,-1.8150278376421667e-05,-1.9673363150709536e-05,-2.113401415890783e-05,-2.2527595999195027e-05,-2.3849686114940804e-05,-2.5096088829767677e-05,-2.6262848662604472e-05,-2.7346262880475152e-05,-2.834289324918776e-05,-2.9249576944631248e-05,-3.006343659005387e-05,-3.078188938746917e-05,-3.140265531421119e-05,-3.192376435862659e-05,-3.2343562771941595e-05,-3.2660718316463035e-05,-3.287422449345811e-05,-3.2983403737296015e-05,-3.298790956571443e-05,-3.288772767938718e-05,-3.2683176007303227e-05,-3.237490369781368e-05,-3.196388905854767e-05,-3.1451436451736074e-05,-3.083917215479474e-05,-3.012903919930432e-05,-2.932329120476522e-05,-2.8424485226696385e-05,-2.7435473641773938e-05,-2.6359395095763787e-05,-2.5199664542973507e-05,-2.3959962408834408e-05,-2.2644222910006407e-05,-2.1256621569071672e-05,-1.98015619634401e-05,-1.828366175051824e-05,-1.670773801349179e-05,-1.5078791974227071e-05,-1.34019931218048e-05,-1.1682662807054929e-05,-9.926257355155835e-06,-8.13835074988968e-06,-6.324616944506227e-06,-4.490811855331889e-06,-2.6427550952672742e-06,-7.863115051428565e-07,1.0726274584573258e-06,2.9281624198373856e-06,4.774404805962653e-06,6.605495533950541e-06,8.415623604973608e-06,1.019904454556729e-05,1.1950098637818019e-05,1.3663228880578159e-05,1.533299862470757e-05,1.6954108826375758e-05,1.8521414863671324e-05,2.002994286315059e-05,2.1474905484512973e-05,2.2851717113310182e-05,2.4156008413474816e-05,2.538364019348567e-05,2.6530716542165248e-05,2.7593597192422912e-05,2.8568909073706762e-05,2.9453557016502934e-05,3.0244733574910632e-05,3.0939927936121425e-05,3.153693388852816e-05,3.203385682317656e-05,3.242911974634024e-05,3.272146828413807e-05,3.290997466331213e-05,3.2994040655532356e-05,3.297339947588485e-05,3.28481166295185e-05,3.261858970376319e-05,3.228554710637941e-05,3.1850045753943306e-05,3.1313467717703316e-05,3.067751583755243e-05,2.9944208318035873e-05,2.9115872323542998e-05,2.819513659301035e-05,2.7184923097571556e-05,2.6088437767630683e-05,2.4909160318785253e-05,2.365083320888709e-05,2.2317449761286262e-05,2.0913241491948625e-05,1.9442664680665205e-05,1.7910386228969207e-05,1.6321268849641593e-05,1.4680355634805962e-05,1.2992854051586485e-05,1.1264119416118696e-05,9.499637898359167e-06,7.705009111627958e-06,5.885928342136706e-06,4.04816847489701e-06,2.197561673367687e-06,3.399808709808815e-07,-1.5186788667161085e-06,-3.372519050155759e-06,-5.215656484711143e-06,-7.042241941118472e-06
4,-1.7755884835043298e-05,-1.9977481490262464e-05,-2.2135679254459947e-05,-2.4223629048840586e-05,-2.6234704727784524e-05,-2.8162524107037554e-05,-3.0000969217685795e-05,-3.174420572163835e-05,-3.338670142700237e-05,-3.4923243844592126e-05,-3.634895672985533e-05,-3.7659315557721934e-05,-3.885016188126417e-05,-3.991771652860155e-05,-4.0858591596169846e-05,-4.166980120029286e-05,-4.234877095293708e-05,-4.289334613157769e-05,-4.3301798517248876e-05,-4.3572831879076795e-05,-4.3705586087891614e-05,-4.3699639845862576e-05,-4.355501202349388e-05,-4.327216159973921e-05,-4.285198620542345e-05,-4.229581927459573e-05,-4.16054258128527e-05,-4.078299679606198e-05,-3.983114221726187e-05,-3.875288280380164e-05,-3.7551640431010355e-05,-3.6231227262814686e-05,-3.479583365376926e-05,-3.325001485089259e-05,-3.15986765375096e-05,-2.9847059264979128e-05,-2.8000721821711428e-05,-2.606552359225457e-05,-2.404760596243421e-05,-2.1953372829556627e-05,-1.9789470279527665e-05,-1.7562765495381254e-05,-1.5280324964152622e-05,-1.29493920512566e-05,-1.0577364013539462e-05,-8.171768523953183e-06,-5.740239782352268e-06,-3.2904942882253986e-06,-8.303063522477729e-07,1.6325165756314263e-06,4.090158683269612e-06,6.534820599948834e-06,8.958744147816956e-06,1.1354236962602149e-05,1.3713696905467173e-05,1.602963618853144e-05,1.829470513749829e-05,2.05017155159766e-05,2.2643663337476e-05,2.4713751092682067e-05,2.6705409321472336e-05,2.861231746121424e-05,3.0428423905182536e-05,3.2147965207440336e-05,3.376548437323671e-05,3.527584817687612e-05,3.6674263452101004e-05,3.7956292303289714e-05,3.91178661891968e-05,4.015529883454069e-05,4.1065297928463476e-05,4.1844975572737626e-05,4.249185744656218e-05,4.3003890658863713e-05,4.3379450263182254e-05,4.3617344414467757e-05,4.371681815142141e-05,4.367755579237883e-05,4.3499681937131125e-05,4.3183761071505645e-05,4.273079577595963e-05,4.214222354387417e-05,4.141991221964275e-05,4.056615407103451e-05,3.9583658514641895e-05,3.8475543517498735e-05,3.72453257021573e-05,3.5896909186623906e-05,3.443457319457151e-05,3.286295847514777e-05,3.1187052575475316e-05,2.9412174012582876e-05,2.7543955394997128e-05,2.5588325547560222e-05,2.355149069619885e-05,2.1439914772356723e-05,1.9260298899593663e-05,1.701956012745132e-05,1.4724809480074201e-05,1.2383329389248597e-05,1.0002550583476492e-05,7.590028506427193e-06,5.153419339603077e-06,2.7004557053121947e-06,2.389221270544632e-07,-2.223369674801271e-06,-4.678605573650363e-06,-7.118993834920947e-06,-9.536789843282021e-06
5,-2.2206040378990906e-05,-2.49355849933379e-05,-2.7585996087459884e-05,-3.0148862534849198e-05,-3.2616051033483734e-05,-3.4979731917004867e-05,-3.723240400230211e-05,-3.9366918394650546e-05,-4.137650117485462e-05,-4.325477489640075e-05,-4.4995778824396493e-05,-4.659398785206845e-05,-4.8044330034786056e-05,-4.934220268596781e-05,-5.0483486983788714e-05,-5.1464561042334004e-05,-5.228231140571817e-05,-5.293414292869249e-05,-5.341798701238439e-05,-5.373230816903229e-05,-5.3876108894883586e-05,-5.384893283579001e-05,-5.365086623545606e-05,-5.328253766174291e-05,-5.2745116011896796e-05,-5.204030680303366e-05,-5.1170346759649735e-05,-5.013799671533707e-05,-4.8946532851229274e-05,-4.759973629898283e-05,-4.610188114128846e-05,-4.445772084799449e-05,-4.2672473190886e-05,-4.0751803684993776e-05,-3.870180760898202e-05,-3.6528990661673734e-05,-3.4240248316100345e-05,-3.184284393659617e-05,-2.9344385728382837e-05,-2.6752802592795735e-05,-2.407631896477509e-05,-2.1323428712476217e-05,-1.8502868181828722e-05,-1.5623588471587915e-05,-1.2694727026864693e-05,-9.725578641281658e-06,-6.7255659597811705e-06,-3.70420957569472e-06,-6.710978169718491e-07,2.364143682548606e-06,5.391882530257718e-06,8.402510143344748e-06,1.1386472241804928e-05,1.4334299169115952e-05,1.7236635944360627e-05,2.0084271950424297e-05,2.2868170164051217e-05,2.5579495834997894e-05,2.8209644523269167e-05,3.075026940546097e-05,3.3193307763551886e-05,3.553100657208165e-05,3.775594710251452e-05,3.9861068466705683e-05,4.18396900247546e-05,4.3685532586133994e-05,4.539273833681224e-05,4.695588942912947e-05,4.837002517543354e-05,4.963065779090966e-05,5.0733786635645e-05,5.167591091073028e-05,5.245404076810724e-05,5.306570679890397e-05,5.3508967870148004e-05,5.3782417284986006e-05,5.3885187246861154e-05,5.38169516134809e-05,5.35779269318351e-05,5.316887175098084e-05,5.2591084214772876e-05,5.184639794218165e-05,5.093717620827088e-05,4.9866304444302315e-05,4.863718108076852e-05,4.725370676241365e-05,4.572027196946845e-05,4.404174308438312e-05,4.2223446948277114e-05,4.027115395611398e-05,3.8191059744251295e-05,3.5989765528478794e-05,3.3674257154943285e-05,3.125188293044241e-05,2.8730330302442818e-05,2.611760146282961e-05,2.3421987952809085e-05,2.0652044349555595e-05,1.7816561118109693e-05,1.492453671468174e-05,1.1985149029892025e-05,9.007726262572295e-06,6.001717316561644e-06,2.9766618144432883e-06,-5.7840176616880275e-08,-3.092158610852971e-06,-6.116664025020191e-06,-9.121758097666229e-06,-1.2097904109574953e-05
6,-2.654792356211144e-05,-2.9737558423439065e-05,-3.2832820616887715e-05,-3.582388727311418e-05,-3.870126618915634e-05,-4.14558259521074e-05,-4.407882491781619e-05,-4.656193895264966e-05,-4.8897287850278176e-05,-5.107746033964993e-05,-5.3095537604790484e-05,-5.4945115241788006e-05,-5.662032358328226e-05,-5.811584632595769e-05,-5.94269374019263e-05,-6.054943604045821e-05,-6.147977997226069e-05,-6.221501673440318e-05,-6.275281304001079e-05,-6.309146218299092e-05,-6.322988945429577e-05,-6.316765555253032e-05,-6.290495797808308e-05,-6.24426304063553e-05,-6.17821400420767e-05,-6.092558296310623e-05,-5.987567746849122e-05,-5.8635755451897514e-05,-5.720975182778575e-05,-5.560219204389102e-05,-5.381817771963425e-05,-5.186337045604231e-05,-4.974397386855783e-05,-4.746671389975498e-05,-4.50388174744421e-05,-4.246798956488774e-05,-3.9762388738955295e-05,-3.693060126874276e-05,-3.398161388189691e-05,-3.0924785242073856e-05,-2.7769816249054294e-05,-2.4526719252766397e-05,-2.120578627891631e-05,-1.7817556367062185e-05,-1.4372782124785947e-05,-1.0882395604102545e-05,-7.357473608399668e-06,-3.8092025400059904e-06,-2.48842899945752e-07,3.312306447460884e-06,6.862944131743444e-06,1.0391802141380387e-05,1.3887681583033117e-05,1.7339488221432057e-05,2.073626768712867e-05,2.4067240240380735e-05,2.732183498084708e-05,3.0489723394527086e-05,3.35608521314824e-05,3.652547491032105e-05,3.937418344819378e-05,4.209793731814617e-05,4.468809263907369e-05,4.7136429507231095e-05,4.943517808224276e-05,5.1577043244828194e-05,5.3555227747992555e-05,5.536345378820987e-05,5.6995982928144035e-05,5.8447634307681105e-05,5.9713801085480234e-05,6.0790465058866545e-05,6.167420941566838e-05,6.236222957753119e-05,6.285234210029627e-05,6.314299160319991e-05,6.323325570490142e-05,6.312284795067675e-05,6.281211872148767e-05,6.230205412204162e-05,6.159427285137072e-05,6.069102106586203e-05,5.9595165251040324e-05,5.8310183124725835e-05,5.684015260043484e-05,5.518973884604907e-05,5.336417947882316e-05,5.1369267943713064e-05,4.921133512777675e-05,4.68972292689912e-05,4.4434294223248726e-05,4.183034615849995e-05,3.909364875000649e-05,3.62328869554216e-05,3.325713945292327e-05,3.017584982986795e-05,2.6998796613399582e-05,2.373606223812033e-05,2.0398001049305882e-05,1.6995206443207848e-05,1.35384772487229e-05,1.0038783457118463e-05,6.507231408571135e-06,2.9550285459997735e-06,-6.065521519532085e-07,-4.166207945918623e-06,-7.712642205244438e-06,-1.1234600258052446e-05,-1.4720905108139262e-05
7,-3.0721443232047235e-05,-3.4307992161317325e-05,-3.7785664070365e-05,-4.1143422505847605e-05,-4.437061156195282e-05,-4.745698969710419e-05,-5.039276223567471e-05,-5.316861245156321e-05,-5.577573113498921e-05,-5.8205844548676736e-05,-6.045124068470503e-05,-6.250479373870306e-05,-6.435998672371527e-05,-6.601093215197494e-05,-6.745239071895116e-05,-6.86797879303743e-05,-6.968922861947443e-05,-7.047750930836206e-05,-7.104212837432203e-05,-7.138129398875711e-05,-7.149392980358837e-05,-7.13796783670641e-05,-7.103890225813999e-05,-7.047268293582795e-05,-6.96828173071668e-05,-6.86718120247062e-05,-6.74428755316004e-05,-6.599990787955681e-05,-6.434748835195344e-05,-6.249086093140159e-05,-6.043591765787437e-05,-5.818917993021363e-05,-5.5757777810355296e-05,-5.3149427395951884e-05,-5.037240633319948e-05,-4.7435527547581814e-05,-4.434811127589452e-05,-4.111995548830935e-05,-3.776130479434217e-05,-3.4282817931403415e-05,-3.069553393910646e-05,-2.7010837126679663e-05,-2.3240420944659922e-05,-1.9396250875520447e-05,-1.549052646100046e-05,-1.1535642586643229e-05,-7.544150146407847e-06,-3.5287162121849612e-06,4.979161653797926e-07,4.522968397182798e-06,8.533666908740995e-06,1.2517283677356432e-05,1.646117662472168e-05,2.0352829736778953e-05,2.417989278351224e-05,2.7930220512620806e-05,3.159191119269217e-05,3.515334438355758e-05,3.860321781396433e-05,4.193058324953367e-05,4.5124881237176286e-05,4.817597461570356e-05,5.107418068628792e-05,5.3810301940679167e-05,5.637565524965925e-05,5.876209941910681e-05,6.0962061026220796e-05,6.296855845391137e-05,6.477522404708578e-05,6.637632432051417e-05,6.776677815414656e-05,6.894217291813676e-05,6.989877847640241e-05,7.06335590242764e-05,7.114418272268793e-05,7.142902909829422e-05,7.148719418608178e-05,7.131849339811521e-05,7.092346210933037e-05,7.030335395851267e-05,6.946013686985169e-05,6.839648680769957e-05,6.711577928435053e-05,6.562207864779248e-05,6.39201251834275e-05,6.20153200706918e-05,5.991370824231704e-05,5.762195920062989e-05,5.514734585176779e-05,5.249772142498305e-05,4.96814945502806e-05,4.670760257348183e-05,4.358548319339991e-05,4.0325044511135e-05,3.693663358654063e-05,3.343100360164554e-05,2.981927973524096e-05,2.6112923856928388e-05,2.2323698152673486e-05,1.846362779730118e-05,1.454496279239029e-05,1.0580139090676704e-05,6.581739130337593e-06,2.562451904400951e-06,-1.4649673079983135e-06,-5.487737420722193e-06,-9.493092101633e-06,-1.3468320286773781e-05,-1.740080651915537e-05
8,-3.466504399278146e-05,-3.856968886971425e-05,-4.2351932156507515e-05,-4.5999770837161765e-05,-4.950162843107347e-05,-5.284639173120108e-05,-5.602344607202425e-05,-5.9022709015372704e-05,-6.183466234722204e-05,-6.445038228391478e-05,-6.686156779194509e-05,-6.906056693143614e-05,-7.10404011397062e-05,-7.279478737786101e-05,-7.431815807012912e-05,-7.560567877266171e-05,-7.665326351572588e-05,-7.745758777060187e-05,-7.801609900003409e-05,-7.832702475875255e-05,-7.838937831836009e-05,-7.820296179873189e-05,-7.776836679599172e-05,-7.708697250507113e-05,-7.616094134281007e-05,-7.499321208548861e-05,-7.358749054256838e-05,-7.194823779624093e-05,-7.0080656044104e-05,-6.799067208989608e-05,-6.568491853467924e-05,-6.317071272816233e-05,-6.045603354696275e-05,-5.754949607349974e-05,-5.446032425587797e-05,-5.119832163552528e-05,-4.777384023548024e-05,-4.4197747708064027e-05,-4.0481392846193165e-05,-3.663656956778483e-05,-3.2675479487549215e-05,-2.8610693194949615e-05,-2.4455110361214113e-05,-2.0221918802000826e-05,-1.592455262563173e-05,-1.1576649599711586e-05,-7.192007871431691e-06,-2.7845421789053068e-06,1.631760307499832e-06,6.0428843736941775e-06,1.0434831239396544e-05,1.479366298351066e-05,1.9105546776364766e-05,2.335679877844108e-05,2.7533927566282862e-05,3.162367694776533e-05,3.561306803085596e-05,3.948944041235818e-05,4.324049235592476e-05,4.685431983183595e-05,5.031945429464828e-05,5.362489907882661e-05,5.6760164296856656e-05,5.971530012908884e-05,6.24809283996669e-05,6.504827233833475e-05,6.740918443367259e-05,6.955617228936818e-05,7.148242240146934e-05,7.318182178115941e-05,7.464897735443503e-05,7.58792330771223e-05,7.686868471091528e-05,7.76141922135452e-05,7.811338970376054e-05,7.83646929694921e-05,7.836730449537941e-05,7.812121599369882e-05,7.762720843066507e-05,7.688684954802125e-05,7.590248888778237e-05,7.467725033592253e-05,7.321502220866734e-05,7.152044491285346e-05,6.959889621951584e-05,6.745647419743533e-05,6.509997786081058e-05,6.253688559246516e-05,5.9775331411068133e-05,5.682407915768119e-05,5.369249468355466e-05,5.039051612743209e-05,4.6928622376691615e-05,4.3317799812411524e-05,3.9569507443894725e-05,3.569564054330094e-05,3.170849289578929e-05,2.762071778497402e-05,2.3445287837504513e-05,1.919545385420561e-05,1.4884702758426513e-05,1.0526714795050664e-05,6.135320115996829e-06,1.7244548899870461e-06,-2.6918829241312595e-06,-7.099678000155463e-06,-1.148494212241366e-05,-1.5833758577613958e-05,-2.0132326319781367e-05
9,-3.8316165116889505e-05,-4.24442467661565e-05,-4.6437630847237176e-05,-5.028364428508518e-05,-5.39700816879982e-05,-5.7485244081644554e-05,-6.0817976035965345e-05,-6.395770106712908e-05,-6.689445520219008e-05,-6.961891859993345e-05,-7.212244512755549e-05,-7.439708979931965e-05,-7.643563399010894e-05,-7.823160834386067e-05,-7.97793133041825e-05,-8.107383720199556e-05,-8.211107184280257e-05,-8.288772554411667e-05,-8.34013335816735e-05,-8.365026601127713e-05,-8.363373284145734e-05,-8.335178654052098e-05,-8.280532187004334e-05,-8.199607304532625e-05,-8.092660823183492e-05,-7.96003213950798e-05,-7.802142152980662e-05,-7.619491930267752e-05,-7.412661115083094e-05,-7.182306088678668e-05,-6.929157886807042e-05,-6.654019879766431e-05,-6.357765222890906e-05,-6.041334085576445e-05,-5.705730667636733e-05,-5.3520200124572854e-05,-4.9813246270614204e-05,-4.5948209198143374e-05,-4.193735467070386e-05,-3.7793411206112694e-05,-3.352952968228409e-05,-2.915924160268565e-05,-2.4696416153872507e-05,-2.0155216191378546e-05,-1.555005329364391e-05,-1.0895542026615224e-05,-6.206453564162615e-06,-1.4976688114975197e-06,3.215868819642941e-06,7.919200834177634e-06,1.2597401124730594e-05,1.723562333989635e-05,2.1819147999399285e-05,2.6333429206624503e-05,3.0764140810278245e-05,3.50972218686825e-05,3.931892127242212e-05,4.3415841383734146e-05,4.737498055414808e-05,5.1183774385447586e-05,5.483013560301028e-05,5.8302492414987934e-05,6.158982523559245e-05,6.468170165594661e-05,6.756830955151796e-05,7.024048822106978e-05,7.268975745830858e-05,7.490834446396893e-05,7.688920851292913e-05,7.862606329807754e-05,8.011339688001877e-05,8.134648917931136e-05,8.23214269557233e-05,8.30351162269691e-05,8.34852920875174e-05,8.36705258963085e-05,8.359022981057249e-05,8.324465865135837e-05,8.263490909485476e-05,8.17629161920694e-05,8.063144722790944e-05,7.924409293915465e-05,7.760525611919043e-05,7.572013764566493e-05,7.359471997541215e-05,7.123574815901901e-05,6.86507084352882e-05,6.58478044735266e-05,6.28359313390557e-05,5.9624647264564575e-05,5.622414331688907e-05,5.2645211055480664e-05,4.8899208285202244e-05,4.4998023012132895e-05,4.095403571677017e-05,3.678008006435644e-05,3.248940217701494e-05,2.8095618596947383e-05,2.3612673074095106e-05,1.9054792315403157e-05,1.4436440836113485e-05,9.772275056369758e-06,5.077096788808934e-06,3.658062647468889e-07,-4.346645151969528e-06,-9.04530241337988e-06,-1.3715254247519908e-05,-1.834168047960648e-05,-2.2909899064125147e-05
